route_id,max_usd,category,provider,lane
R0324,10000,Rebate/Incentive,Weatherization Assistance Program,Standard
R0477,10000,Other Online,YouTube Shorts Fund,Standard
R0316,2000,Rebate/Incentive,Heat Pump Rebates,Standard
R0041,2000,Bank Bonus,HSBC Premier Checking,Standard
R0039,1500,Bank Bonus,Citi Checking,Standard
R0373,1000,Student Program,GitHub Student Developer Pack,Restricted
R0312,1000,Rebate/Incentive,Utility Rebate Programs,Standard
R0313,1000,Rebate/Incentive,Local EV Charger Incentives,Standard
R0318,1000,Rebate/Incentive,Insulation Rebates,Standard
R0323,1000,Rebate/Incentive,Low-Income Home Energy Assistance (LIHEA,Standard
R0026,1000,Brokerage Promo,E*TRADE,Standard
R0404,1000,Translation,ProZ,Standard
R0381,1000,Voiceover/Audio,Voice123,Standard
R0020,700,Brokerage Promo,J.P. Morgan Self-Directed Investing,Standard
R0042,600,Bank Bonus,HSBC Advance Checking,Standard
R0097,500,Fintech/Neobank,SoFi Personal Loan,Standard
R0310,500,Rebate/Incentive,Energy Star Rebates,Standard
R0314,500,Rebate/Incentive,Water Conservation Incentives,Standard
R0319,500,Rebate/Incentive,Electric Appliance Rebates,Standard
R0320,500,Rebate/Incentive,Cooling Rebate Programs,Standard
R0037,500,Bank Bonus,Chase Business Complete Checking,Standard
R0040,500,Bank Bonus,Citizens Bank Checking,Standard
R0056,500,Bank Bonus,Rogue Credit Union,Standard
R0490,500,Other Online,Fiverr,Standard
R0495,500,Other Online,HealthyWage,Standard
R0380,500,Voiceover/Audio,Voices.com,Standard
R0382,500,Voiceover/Audio,Bodalgo,Standard
R0385,500,Voiceover/Audio,VoiceCrafters,Standard
R0388,500,Voiceover/Audio,SnapRecordings,Standard
R0043,400,Bank Bonus,PNC Virtual Wallet,Standard
R0045,400,Bank Bonus,Wells Fargo Everyday Checking,Standard
R0048,400,Bank Bonus,Truist Checking,Standard
R0051,400,Bank Bonus,Fifth Third Bank Checking,Standard
R0052,400,Bank Bonus,BMO Harris Checking,Standard
R0053,400,Bank Bonus,Huntington Bank Checking,Standard
R0054,400,Bank Bonus,Regions Bank Checking,Standard
R0059,400,Bank Bonus,Cedar Rapids Bank & Trust (Maxx),Standard
R0076,400,Bank Bonus,First Citizens Bank,Standard
R0383,400,Voiceover/Audio,ACX (Audiobook Creation Exchange),Standard
R0047,350,Bank Bonus,U.S. Bank Checking,Standard
R0433,300,Other Online,Discover Savings Bonus,Standard
R0231,300,Research Study,FocusGroup.com,Standard
R0232,300,Research Study,Sago (formerly Schlesinger),Standard
R0234,300,Research Study,Fieldwork (Field Nation),Standard
R0285,300,Focus Group,FocusGroup.com,Standard
R0287,300,Focus Group,Fieldwork,Standard
R0044,300,Bank Bonus,TD Bank Checking,Standard
R0050,300,Bank Bonus,KeyBank Checking,Standard
R0055,300,Bank Bonus,Santander Bank Checking,Standard
R0057,300,Bank Bonus,Langley Federal Credit Union,Standard
R0058,300,Bank Bonus,Sage Credit Union,Standard
R0060,300,Bank Bonus,SouthEast Bank,Standard
R0062,300,Bank Bonus,Elevations Credit Union,Standard
R0063,300,Bank Bonus,Visions Federal Credit Union,Standard
R0064,300,Bank Bonus,Webster Bank,Standard
R0065,300,Bank Bonus,Simmons Bank,Standard
R0066,300,Bank Bonus,S&T Bank,Standard
